MAP,Model with Ouliers,P10
0.108945,"{StandardBM25(k1=1.25,b=1.0)}",0.18500000000000005
0.10854000000000001,"{StandardBM25(k1=1.25,b=0.5)}",0.15500000000000005
0.10790000000000002,"{StandardBM25(k1=1.5,b=1.0)}",0.18500000000000005
0.10614285714285712,"{StandardBM25(k1=1.5,b=0.5)}",0.15238095238095242
0.10554,"{StandardBM25(k1=2.0,b=1.0)}",0.18500000000000005
0.10532380952380953,"{StandardBM25(k1=1.25,b=0.75)}",0.15238095238095242
0.1049263157894737,"{StandardBM25(k1=0.5,b=0.75)}",0.15263157894736845
0.10452857142857144,"{StandardBM25(k1=1.5,b=0.75)}",0.15714285714285714
0.10376666666666667,"{StandardBM25(k1=1.0,b=0.75)}",0.1428571428571429
0.10342999999999998,"{StandardBM25(k1=1.0,b=0.5)}",0.16000000000000006
0.1026,"{StandardBM25(k1=2.0,b=0.75)}",0.16190476190476194
0.1008095238095238,"{StandardBM25(k1=1.0,b=1.0)}",0.1666666666666667
0.09851739130434783,"{StandardBM25(k1=2.0,b=0.5)}",0.14347826086956525
0.092295,"{StandardBM25(k1=0.5,b=0.5)}",0.13500000000000004
0.08976190476190474,"{StandardBM25(k1=0.5,b=1.0)}",0.15238095238095242
0.07842608695652173,"{StandardBM25(k1=1.5,b=0.25)}",0.10869565217391307
0.07073749999999998,"{StandardBM25(k1=1.25,b=0.25)}",0.10000000000000002
0.07027083333333332,"{StandardBM25(k1=1.0,b=0.25)}",0.10833333333333336
0.06490714285714286,"{StandardBM25(k1=2.0,b=0.25)}",0.0892857142857143
0.06475384615384615,"{StandardBM25(k1=0.5,b=0.25)}",0.10384615384615388
0.047090000000000014,"{StandardBM25(k1=0.0,b=1.0)}",0.08499999999999999
0.047090000000000014,"{StandardBM25(k1=0.0,b=0.75)}",0.08499999999999999
0.047090000000000014,"{StandardBM25(k1=0.0,b=0.25)}",0.08499999999999999
0.047090000000000014,"{StandardBM25(k1=0.0,b=0.5)}",0.08499999999999999
0.04330769230769231,"{StandardBM25(k1=0.5,b=0.0)}",0.061538461538461535
0.04275,"{StandardBM25(k1=1.0,b=0.0)}",0.061538461538461535
0.042411538461538466,"{StandardBM25(k1=1.25,b=0.0)}",0.061538461538461535
0.03523548387096774,"{StandardBM25(k1=1.5,b=0.0)}",0.05161290322580645
0.033877419354838706,"{StandardBM25(k1=2.0,b=0.0)}",0.05161290322580645
