MAP,Model with Ouliers,P10
0.0911,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(120.000000)Standard},0.14500000000000005
0.091445,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(90.000000)Standard},0.15000000000000005
0.091425,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(130.000000)Standard},0.14000000000000004
0.08478095238095237,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(150.000000)Standard},0.13809523809523813
0.08772380952380951,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(100.000000)Standard},0.14761904761904768
0.08417619047619047,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(200.000000)Standard},0.13809523809523813
0.0916,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(89.000000)Standard},0.15000000000000005
0.065335,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(4000.000000)Standard},0.11000000000000004
0.091275,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(70.000000)Standard},0.14500000000000005
0.061229999999999986,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(5000.000000)Standard},0.10500000000000002
0.09007000000000001,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(60.000000)Standard},0.14500000000000005
0.06328571428571429,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(3000.000000)Standard},0.10000000000000002
0.06596666666666666,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(2000.000000)Standard},0.10952380952380958
0.06483000000000001,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(4500.000000)Standard},0.10500000000000002
0.090245,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(50.000000)Standard},0.14000000000000007
0.08431428571428573,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(177.000000)Standard},0.13809523809523813
0.06390476190476188,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(2500.000000)Standard},0.1047619047619048
0.06535500000000001,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(3500.000000)Standard},0.11000000000000004
0.08358571428571429,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(10.000000)Standard},0.14761904761904768
